INF_ID,INF_NM,INF_NM_EN
OOWY4R001216HX11454,(영문)국회 소식 및 보도자료,national-assembly-news-and-press-releases-en
OOWY4R001216HX11447,(영문)국회의원 정보,national-assembly-member-information-en
OOWY4R001216HX11445,(영문)국회의장 연설문,national-assembly-speaker-speeches-en
OOWY4R001216HX11444,(영문)국회의장 주요동정,national-assembly-speaker-major-activities-en
OOWY4R001216HX11451,(영문)국회일정,national-assembly-schedule-en
OOWY4R001216HX11449,(영문)위원회 정보,committee-information-en
OOWY4R001216HX11498,(영문)최신 처리 의안,latest-processed-bills-en
O04X68000884BE13083,8급 공개경쟁 채용현황,grade-8-open-competitive-recruitment-status
OTUNFG0008834Q19898,9급 공개경쟁 채용현황,grade-9-open-competitive-recruitment-status
OB5IBW001180FQ10640,NABO Focus,nabo-focus
O5K6OC001166I215604,NABO 결산 분석,nabo-settlement-analysis
OTSI7L0011705B12017,NABO 경제 정책 및 동향 분석,nabo-economic-policy-and-trend-analysis
OZN379001174FW17905,NABO 경제재정수첩,nabo-economic-and-fiscal-handbook
O6MC3G0011698G17444,NABO 경제전망,nabo-economic-outlook
OB3OEN0011786012232,NABO 경제ㆍ산업동향 이슈,nabo-economic-and-industry-trend-issues
OLH92R0011733J15777,NABO 대한민국 공공기관,nabo-korea-public-institutions
O3YBRH0011715419177,NABO 대한민국 재정,nabo-korea-public-finance
O0IS020011724J12768,NABO 대한민국 지방재정,nabo-korea-local-finance
OFZZ1G001167FC10024,NABO 비용추계 및 재정전망,nabo-cost-estimation-and-fiscal-projection
OGM9FC001165FS12631,NABO 예산 분석,nabo-budget-analysis
O2QQLK001176HI14481,NABO 재정동향 이슈,nabo-fiscal-trend-issues
ORMEIR001164VQ17801,NABO 재정사업 평가,nabo-fiscal-program-evaluation
O2U9RG001168QQ15766,NABO 조세분석 및 연구,nabo-tax-analysis-and-research
OH01G5001175B914429,NABO 조세수첩,nabo-tax-handbook
O13FRZ001177X318752,NABO 추계 세제 이슈,nabo-estimated-tax-system-issues
OB1YJN001063U411224,NATV 뉴스_기타,natv-news-etc
OFPR4Q001057VP11437,NATV 뉴스_본회의,natv-news-plenary-session
ODNHIU0010588P19122,NATV 뉴스_위원회,natv-news-committee
OK3DIS001059MR19626,NATV 뉴스_의장단,natv-news-speaker-group
OFOEZN001060N312362,NATV 뉴스_인물,natv-news-people
OZUY2X001061ON17910,NATV 뉴스_정당,natv-news-political-parties
OVRNQQ001062CO16787,NATV 뉴스_토론회/세미나,natv-news-forums-and-seminars
OOBAOA001213RL17443,OPEN API 전체 현황,open-api-overall-status
OOWY4R001216HX11479,계류의안 통계,pending-bill-statistics
OOWY4R001216HX11518,공청회 회의록,public-hearing-minutes
OOWY4R001216HX11497,국정감사 결과보고서,national-audit-result-reports
OOWY4R001216HX11507,국정감사 회의록,national-audit-minutes
